ID,condition,Ns1,Ns2,acc,M_rt,a,z,v1,v2,t0,converge,-LLE,AIC,BIC,sep,p.acc,p.M_rt,p.a,p.z,p.v1,p.v2,p.t0,p.convergence,p.converge
47751,low_0,39,19,0.8793103448275862,0.5103793103448275,1.066757491232306,0.519456012091408,-2.599761041660848,1.180367801559821,0.309006397937287,0,-26.311847298186702,-42.623694596373404,-32.32147954364131,NA,0.8793103448275862,0.5247216196730267,1.1043261813523895,0.4358966709886031,-2.7383258910324138,0.6862456147060164,0.3150195673414759,NA,0
47751,high_0,38,17,0.8,0.5370545454545455,1.0959418836292962,0.5615395291490002,-2.376805141596848,0.13593300903199101,0.3041844936092845,0,-11.263759914005556,-12.527519828011112,-2.490853901848755,NA,0.7272727272727273,0.5731780331884825,1.0943931118366628,0.4938333116350423,-1.6596361205548043,-0.2688017735025271,0.3108823165675137,NA,0
47751,low_1,38,14,0.8269230769230769,0.5304807692307693,1.205736176574164,0.4268678236055901,-2.0282171653482117,0.5060029171682909,0.27039205442315095,0,-7.429251954298733,-4.858503908597466,4.897714684309673,NA,0.8846153846153846,0.5594594592871165,1.336286637668476,0.3112057444234369,-1.9228580483073445,0.8954947175622912,0.2551063007405795,NA,0
47751,high_1,35,15,0.8,0.5923,1.251161571218384,0.48419417041242757,-1.951113652987701,-0.024543700915198606,0.2855962746935271,0,3.8326637505452608,17.665327501090523,27.225442528231248,NA,0.72,0.5994424404455195,1.2699215847856231,0.37596165636354223,-1.634531392021318,-0.8078697686533662,0.28714237233006645,NA,0
82208,low_0,39,20,0.8983050847457628,0.876,1.9297601412243393,0.3408498389477588,-1.7535035048933305,0.3525938166271502,0.24515205442697238,0,36.58808504323832,83.17617008647665,93.56385730600525,NA,0.8305084745762712,0.8162333665933362,1.9441274513683466,0.1688253995952326,-1.6994727048403342,0.4246095831750726,0.24327964945198705,NA,0
82208,high_0,40,20,0.85,0.8854,1.6915009130479448,0.3300956169634472,-1.608458052965356,0.2794503718854305,0.3447545954381146,0,33.97351234979264,77.94702469958528,88.4187475106958,NA,0.7833333333333333,0.6760571665742622,1.5347071731677655,0.21473852074012442,-2.288614302372265,0.0644670304614483,0.36607435509573283,NA,0
82208,low_1,40,20,0.95,0.6918333333333333,1.6810049308911545,0.27468900627486836,-1.6328896307338392,2.034663075216797,0.27810940312973864,0,6.530268880679806,23.060537761359612,33.532260572470115,NA,0.95,0.5949169902287514,1.6610944550216122,0.12689002009267208,-1.3571928237472308,2.690046681275532,0.3015205961162599,NA,0
82208,high_1,39,20,0.8135593220338984,0.9300338983050848,1.8185098352491358,0.33587437589159386,-1.4567983184002657,0.10095717525128284,0.2711082372138144,0,48.89917241465786,107.79834482931572,118.18603204884433,NA,0.6949152542372882,0.8215423400335179,1.9387824581378987,0.2211477867476212,-1.6495333257503446,-0.7040280596158449,0.24822056563590583,NA,0
94065,low_0,40,20,1,0.84775,2.9106967351082216,0.189150085493492,-3.60105394493558,3.251959063713103,0.4170116485732343,0,-23.043848337499128,-36.087696674998256,-25.615973863887753,NA,0.9833333333333333,0.7098872004541594,3.3217531086505394,0.03584600680705238,-3.5727593846564107,4.535698274618073,0.43324518438658616,NA,0
94065,high_0,40,20,0.95,0.8424,1.5572845206907693,0.38506159518752053,-3.0179588154043637,1.3845210642279207,0.542296118136651,0,-19.827250243021435,-29.65450048604287,-19.182777674932368,NA,0.95,0.8516311075172076,1.7172002326667042,0.17403127183815245,-2.2022243218399087,2.105106279537593,0.5465189910746314,NA,0
94065,low_1,40,20,0.9833333333333333,0.7915833333333333,1.6694453283355157,0.33913768770059366,-3.6847346768489997,3.5358707804186515,0.5598617640964846,0,-46.50222698982776,-83.00445397965552,-72.53273116854501,NA,1,0.7393715642710204,2.254839658024201,0.17181354247518257,-5.232745053192216,4.4722520954850635,0.5251221012081548,NA,0
94065,high_1,40,20,0.85,0.91975,1.339331123087288,0.4434654254154613,-2.0237474557744917,0.8204562429931861,0.6006494904735683,0,3.299202680575005,16.59840536115001,27.070128172260514,NA,0.8333333333333334,0.9770759912615216,1.4865473563177893,0.31804296087165157,-1.9336605455640081,0.32200115259073014,0.5646206433411405,NA,0
95172,low_0,40,20,0.95,0.5872,1.4951631164193093,0.5069836698184187,-3.782343254014755,1.1938335060617706,0.3347311964000297,0,-33.966913585321755,-57.93382717064351,-47.46210435953301,NA,0.9,0.6160944455285998,1.3128897966279065,0.3673260735646345,-2.612534943698969,0.975646509952992,0.3427822802740108,NA,0
95172,high_0,40,20,0.7666666666666667,0.7503666666666666,1.400099001258779,0.4500700909430421,-1.711329985394698,-0.11007149810740535,0.360130697807786,0,21.40830646857969,52.81661293715938,63.28833574826988,NA,0.8,0.7602417637894731,1.750057793771901,0.20275102519029703,-2.0311193376809675,0.13192754377352922,0.3561717376352922,NA,0
95172,low_1,40,20,0.9833333333333333,0.5328166666666667,1.706352911370346,0.3381504216610468,-3.560355452863888,2.6019108088236407,0.2663723233339606,0,-36.91354376553701,-63.827087531074014,-53.35536471996351,NA,1,0.5007426973508956,1.775462934755333,0.2170095685612679,-3.696395517765667,2.7578321901413014,0.24543947900843316,NA,0
95172,high_1,40,20,0.7333333333333333,0.6832833333333334,1.3603680240872293,0.4202447652594602,-1.5551026178580485,-0.435330171082649,0.2959245008973313,0,21.731463750645226,53.46292750129045,63.934650312400954,NA,0.6833333333333333,0.595399064934123,1.2203334451895027,0.3093535842715443,-1.58099977036699,-0.35896809584969447,0.30796463505146815,NA,0
121650,low_0,40,20,0.8833333333333333,0.5232166666666667,1.062829844084305,0.5439682709867597,-2.2886328755879286,1.6633209519059169,0.3202298684001695,0,-26.096742470062498,-42.193484940124996,-31.721762129014493,NA,0.7833333333333333,0.5215251679038642,0.9458794625154783,0.5904320025138827,-1.6651766098971514,1.0024648562559004,0.31928697845626797,NA,0
121650,high_0,39,20,0.8135593220338984,0.6475593220338983,1.4327845670016295,0.3360546707006439,-1.4147885710280264,0.618882200405779,0.26157929862579293,0,18.28885519172615,46.5777103834523,56.9653976029809,NA,0.847457627118644,0.672924327845409,1.933431001171162,0.07942847962254661,-0.877387968499757,1.533686553255699,0.2958092129420814,NA,0
121650,low_1,40,19,0.7627118644067796,0.6817457627118644,1.353883173526958,0.35826045285829017,-1.698796472694153,-0.2125347445004248,0.3288124717584346,0,11.628933937097496,33.25786787419499,43.64555509372359,NA,0.711864406779661,0.6072499069940577,1.3415699028421872,0.232924786490478,-1.3064077463329717,-0.9093751551640847,0.3336816760272725,NA,0
121650,high_1,39,20,0.7966101694915254,0.7403389830508474,1.6154281474099343,0.3256175647083271,-1.4794782913312083,-0.09713441701308964,0.2526741916477661,0,29.664116699463076,69.32823339892616,79.71592061845475,NA,0.7966101694915254,0.6703163496037173,1.7665667998932837,0.18304328048434187,-1.763646467071266,0.21956652571958235,0.24724447725672632,NA,0
153432,low_0,40,20,0.9333333333333333,0.43515,1.004638517785502,0.6557483332852149,-4.384804176574667,1.6705398419717103,0.3000064164003365,0,-63.82665240763502,-117.65330481527003,-107.18158200415954,NA,0.9333333333333333,0.43780735934275766,0.9669080232231102,0.7190117099651472,-4.245647288843662,1.645059686301058,0.29973308665271814,NA,0
153432,high_0,40,20,0.9333333333333333,0.47041666666666665,0.9964644548351602,0.5919121822309948,-3.4617070656504487,2.372533907880605,0.32340735248836305,0,-55.47599843233728,-100.95199686467456,-90.48027405356405,NA,0.95,0.4766374803643438,0.9976923043553247,0.6513657116792535,-4.0965657071327195,1.852146841393911,0.3253581596915751,NA,0
