"ID","CL","Evaluation","block","trial_block","Errors","RT_Raw","cER","oER","Errors_cw","cER_cw","oER_cw","RT_cw","CL_evaluation","Mental","Temporal","Performance","Effort","Frustration","Eustress","Distress","NASA_TLX","Eustress_cw","Distress_cw","NASA_TLX_cw","Mental_cw","Temporal_cw","Performance_cw","Effort_cw","Frustration_cw","ratio"
17709,"low","0","1",0,0,0.4382,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.228564608711702,"low_0",5,3,5,4,2,4,1,3.4,0.919,-1.281,-1.047,-0.041,-1.517,0.674,-1.029,-1.971,4
17824,"low","0","1",0,0,0.5947,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0720646087117017,"low_0",4,5,3,7,5,3.8,2.6,5.2,0.719,0.319,0.753,-1.041,0.483,-1.326,1.971,1.029,1.46153846153846
40122,"low","0","1",0,0,0.669,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.00223539128829831,"low_0",4,3,2,3,5,2.8,2.8,4.2,-0.281,0.519,-0.247,-1.041,-1.517,-2.326,-2.029,1.029,1
40710,"low","0","1",0,2,0.7979,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.131135391288298,"low_0",5,5,6,2,4,3.8,2.6,3.6,0.719,0.319,-0.847,-0.041,0.483,1.674,-3.029,0.029,1.46153846153846
47751,"low","0","1",0,1,0.5157,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.151064608711702,"low_0",5,5,4,5,1,3.4,1,4,0.319,-1.281,-0.447,-0.041,0.483,-0.326,-0.029,-2.971,3.4
82208,"low","0","1",0,0,0.5746,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0921646087117017,"low_0",5,5,4,5,5,3.2,2,4.8,0.119,-0.281,0.353,-0.041,0.483,-0.326,-0.029,1.029,1.6
94065,"low","0","1",0,0,0.7724,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.105635391288298,"low_0",4,3,6,4,3,2.8,2.6,3.2,-0.281,0.319,-1.247,-1.041,-1.517,1.674,-1.029,-0.971,1.07692307692308
95172,"low","0","1",0,0,0.5931,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0736646087117018,"low_0",3,3,6,4,3,3.6,1.4,3,0.519,-0.881,-1.447,-2.041,-1.517,1.674,-1.029,-0.971,2.57142857142857
121650,"low","0","1",0,0,0.5058,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.160964608711702,"low_0",4,5,5,5,2,3.2,1.4,3.8,0.119,-0.881,-0.647,-1.041,0.483,0.674,-0.029,-1.971,2.28571428571429
153432,"low","0","1",0,1,0.4083,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.258464608711702,"low_0",6,3,5,5,5,3.8,3.6,4.4,0.719,1.319,-0.047,0.959,-1.517,0.674,-0.029,1.029,1.05555555555556
