52,-34,8
53,-34,8
53,-34,8
52,-34,8
51,-34,10
51,-34,10
51,-34,10
51,-35,10
51,-35,10
51,-34,10
51,-34,10
51,-34,10
51,-34,10
52,-34,10
51,-35,10
51,-34,10
51,-35,11
51,-34,10
51,-34,10
51,-34,10
50,-34,10
50,-35,10
50,-35,10
51,-34,10
51,-35,9
51,-35,9
50,-35,10
51,-36,10
52,-35,10
52,-35,10
52,-35,10
52,-34,10
52,-34,10
51,-35,9
51,-35,10
51,-35,10
52,-36,10
53,-36,9
52,-36,9
50,-36,8
50,-36,8
50,-35,7
50,-34,7
50,-35,7
50,-34,5
50,-34,5
50,-34,5
50,-34,4
50,-35,4
50,-34,4
51,-34,5
51,-34,4
52,-34,5
52,-34,5
52,-34,6
52,-34,6
52,-33,7
52,-34,7
52,-34,7
51,-35,7
51,-35,7
51,-35,7
51,-35,8
51,-35,7
51,-34,7
51,-35,7
51,-35,7
51,-35,7
52,-34,7
52,-34,7
52,-34,7
51,-34,7
52,-34,8
51,-34,7
51,-34,8
51,-34,8
51,-34,8
51,-34,8
52,-34,8
51,-34,8
52,-35,9
52,-34,9
52,-34,9
52,-34,9
52,-34,9
52,-34,9
52,-34,9
52,-34,9
